dt=0.00625sec, 4878samples
Time(Sec)             X_ref_pos(i)          X_enc_pos(i)          X_pos_err(i)          X_vel_ff(f)           X_vel_fbf(f)          X_ref_acc(f)          X_command(f)          X_curr_abs(f)         
1.006250              0                     -31                   31                    0                     -1773.96              0                     -6.46406              0.0873698             
1.012500              0                     -32                   32                    0                     2025.3                0                     -6.93032              0.190853              
1.018750              0                     -33                   33                    0                     1157.51               0                     -6.76158              0.0351419             
1.025000              0                     -32                   32                    0                     -1115.53              0                     -6.44743              0.0149826             
1.031250              0                     -33                   33                    0                     37.192                0                     -6.54942              0.0904514             
1.037500              0                     -33                   33                    0                     -1997.06              0                     -6.25575              0.115956              
1.043750              0                     -31                   31                    0                     2544.35               0                     -6.86183              0.0438813             
1.050000              0                     -36                   36                    0                     2159.18               0                     -6.68966              0.0330703             
1.056250              0                     -33                   33                    0                     1491.85               0                     -6.61048              0.00871553            
1.062500              0                     -32                   32                    0                     3368.29               0                     -6.85163              0.0535262             
1.068750              0                     -33                   33                    0                     893.721               0                     -6.46962              0.0128949             
1.075000              0                     -29                   29                    0                     1016.35               0                     -6.51147              0.137927              
1.081250              0                     -32                   32                    0                     -705.653              0                     -6.20781              0.0720669             
1.087500              0                     -31                   31                    0                     -588.764              0                     -6.21708              0.0438813             
1.093750              0                     -29                   29                    0                     167.629               0                     -6.32636              0.0563992             
1.100000              0                     -35                   35                    0                     1095.61               0                     -6.30444              0.102725              
1.106250              0                     -30                   30                    0                     -1695.55              0                     -5.98468              0.112875              
1.112500              0                     -31                   31                    0                     -378.897              0                     -6.11705              0.122119              
1.118750              0                     -31                   31                    0                     2271.74               0                     -6.42192              0.0316958             
1.125000              0                     -30                   30                    0                     -396.023              0                     -6.0734               0.00631568            
1.131250              0                     -33                   33                    0                     655.374               0                     -6.13067              0.0148785             
1.137500              0                     -31                   31                    0                     -488.452              0                     -5.96462              0.0144257             
1.143750              0                     -31                   31                    0                     -447.187              0                     -5.94613              0.0413048             
1.150000              0                     -31                   31                    0                     3026.59               0                     -6.38161              0.0843406             
1.156250              0                     -30                   30                    0                     1502.22               0                     -6.15232              0.0689856             
1.162500              0                     -30                   30                    0                     330.663               0                     -5.96784              0.166966              
1.168750              0                     -30                   30                    0                     -633.989              0                     -5.8178               0.102725              
1.175000              0                     -29                   29                    0                     690.175               0                     -5.97683              0.00939706            
